base,date,currency,rate
USD,2009-01-06,NZD,1.702670267
USD,2009-01-06,PHP,46.9321932193
USD,2009-01-06,PLN,3.0153015302
USD,2009-01-06,RON,3.050930093
USD,2009-01-06,RUB,29.1673417342
USD,2009-01-06,SEK,7.9264176418
USD,2009-01-06,SGD,1.4790729073
USD,2009-01-06,SKK,-
USD,2009-01-06,THB,35.0697569757
USD,2009-01-06,TRY,1.5193519352
USD,2009-01-06,USD,1.0
USD,2009-01-06,ZAR,9.3400090009
USD,2009-01-07,AUD,1.3851415962
USD,2009-01-07,BGN,1.4386171387
USD,2009-01-07,BRL,2.2050018389
USD,2009-01-07,CAD,1.181390217
USD,2009-01-07,CHF,1.1037881574
USD,2009-01-07,CNY,6.833983082
USD,2009-01-07,CZK,19.2107392424
USD,2009-01-07,DKK,5.4815741081
USD,2009-01-07,EEK,11.5090842221
USD,2009-01-07,EUR,0.7355645458
USD,2009-01-07,GBP,0.6651710188
USD,2009-01-07,HKD,7.7527031997
USD,2009-01-07,HRK,5.3710187569
USD,2009-01-07,HUF,195.7631482163
USD,2009-01-07,IDR,10850.0036778227
USD,2009-01-07,ILS,-
USD,2009-01-07,INR,48.8150055167
USD,2009-01-07,ISK,-
USD,2009-01-07,JPY,93.2475174697
USD,2009-01-07,KRW,1309.4005148952
USD,2009-01-07,LTL,2.5397572637
USD,2009-01-07,LVL,0.5199705774
USD,2009-01-07,MXN,13.4400147113
USD,2009-01-07,MYR,3.500478117
USD,2009-01-07,NOK,6.9080544318
USD,2009-01-07,NZD,1.6709819787
USD,2009-01-07,PHP,46.4509010666
USD,2009-01-07,PLN,2.9236484001
USD,2009-01-07,RON,3.0154468555
USD,2009-01-07,RUB,29.3540272159
USD,2009-01-07,SEK,7.7795513056
USD,2009-01-07,SGD,1.470393527
USD,2009-01-07,SKK,-
USD,2009-01-07,THB,34.8297168076
USD,2009-01-07,TRY,1.5205590291
USD,2009-01-07,USD,1.0
USD,2009-01-07,ZAR,9.3527031997
USD,2009-01-08,AUD,1.4215319086
USD,2009-01-08,BGN,1.4362928692
USD,2009-01-08,BRL,2.2693691709
USD,2009-01-08,CAD,1.2002643754
USD,2009-01-08,CHF,1.0972314019
USD,2009-01-08,CNY,6.8346919292
USD,2009-01-08,CZK,19.2391863112
USD,2009-01-08,DKK,5.4732319894
USD,2009-01-08,EEK,11.4904898289
USD,2009-01-08,EUR,0.7343761475
USD,2009-01-08,GBP,0.6560182125
USD,2009-01-08,HKD,7.7539839906
USD,2009-01-08,HRK,5.3679958875
USD,2009-01-08,HUF,199.5814055959
USD,2009-01-08,IDR,11029.9992656239
USD,2009-01-08,ILS,-
USD,2009-01-08,INR,48.4152162738
USD,2009-01-08,ISK,-
USD,2009-01-08,JPY,91.3123301755
USD,2009-01-08,KRW,1334.5009914078
USD,2009-01-08,LTL,2.535653962
USD,2009-01-08,LVL,0.5191304986
USD,2009-01-08,MXN,13.5164867445
USD,2009-01-08,MYR,3.5405008445
USD,2009-01-08,NOK,6.9637218183
USD,2009-01-08,NZD,1.6966292135
USD,2009-01-08,PHP,46.8017918778
USD,2009-01-08,PLN,2.9606374385
USD,2009-01-08,RON,3.0563266505
USD,2009-01-08,RUB,30.4545788353
USD,2009-01-08,SEK,7.8666372916
USD,2009-01-08,SGD,1.4820445032
USD,2009-01-08,SKK,-
USD,2009-01-08,THB,34.9298670779
USD,2009-01-08,TRY,1.5592274363
USD,2009-01-08,USD,1.0
USD,2009-01-08,ZAR,9.6450025703
USD,2009-01-09,AUD,1.4155948553
USD,2009-01-09,BGN,1.4292604502
USD,2009-01-09,BRL,2.2820812628
USD,2009-01-09,CAD,1.1828412745
USD,2009-01-09,CHF,1.0960245542
USD,2009-01-09,CNY,6.8355743935
USD,2009-01-09,CZK,19.33645133
USD,2009-01-09,DKK,5.445995323
